product_id,product_name,category,unit_price,in_stock
PROD-0001,Electronics Delta Mug 0001,Electronics,780.64,59
PROD-0002,Home Eco Notebook 0002,Home,878.13,47
PROD-0003,Fashion Flex Watch 0003,Fashion,691.26,130
PROD-0004,Sports Ridge Notebook 0004,Sports,985.01,90
PROD-0005,Books Pulse Watch 0005,Books,215.72,87
PROD-0006,Electronics Nimbus Bottle 0006,Electronics,530.53,214
PROD-0007,Home Classic Stand 0007,Home,221.06,186
PROD-0008,Fashion Nova Lamp 0008,Fashion,286.89,136
PROD-0009,Sports Flex Bag 0009,Sports,800.21,60
PROD-0010,Books Max Stand 0010,Books,884.60,482
PROD-0011,Electronics Eco Shoes 0011,Electronics,274.54,148
PROD-0012,Home Ridge Jacket 0012,Home,88.63,53
PROD-0013,Fashion Nova Bag 0013,Fashion,268.81,294
PROD-0014,Sports Eco Mug 0014,Sports,991.66,170
PROD-0015,Books Nova Hoodie 0015,Books,292.37,391
PROD-0016,Electronics Pulse Bottle 0016,Electronics,633.61,272
PROD-0017,Home Max Mug 0017,Home,183.73,320
PROD-0018,Fashion Nimbus Mug 0018,Fashion,381.67,258
PROD-0019,Sports Bold Stand 0019,Sports,370.25,82
PROD-0020,Books Vista Bottle 0020,Books,127.40,465
PROD-0021,Electronics Prime Mug 0021,Electronics,753.66,328
PROD-0022,Home Vista Jacket 0022,Home,902.56,338
PROD-0023,Fashion Prime Mug 0023,Fashion,182.14,305
PROD-0024,Sports Ridge Chair 0024,Sports,990.73,88
PROD-0025,Books Eco Speaker 0025,Books,729.79,165
PROD-0026,Electronics Delta Hoodie 0026,Electronics,907.87,316
PROD-0027,Home Urban Stand 0027,Home,498.36,391
PROD-0028,Fashion Lite Mat 0028,Fashion,812.91,184
PROD-0029,Sports Delta Bottle 0029,Sports,7.09,237
PROD-0030,Books Flex Headphones 0030,Books,123.63,188
PROD-0031,Electronics Lite Bottle 0031,Electronics,797.94,112
PROD-0032,Home Pulse Mug 0032,Home,482.70,291
PROD-0033,Fashion Classic Stand 0033,Fashion,688.92,120
PROD-0034,Sports Aero Bag 0034,Sports,958.06,416
PROD-0035,Books Ridge Chair 0035,Books,175.66,166
PROD-0036,Electronics Max Shoes 0036,Electronics,997.64,13
PROD-0037,Home Max Chair 0037,Home,96.33,128
PROD-0038,Fashion Prime Mug 0038,Fashion,904.56,122
PROD-0039,Sports Max Speaker 0039,Sports,537.39,348
PROD-0040,Books Pulse Watch 0040,Books,940.06,157
PROD-0041,Electronics Delta Notebook 0041,Electronics,52.21,418
PROD-0042,Home Lite Bottle 0042,Home,921.30,323
PROD-0043,Fashion Prime Lamp 0043,Fashion,428.64,377
PROD-0044,Sports Max Mat 0044,Sports,392.31,371
PROD-0045,Books Aero Watch 0045,Books,809.95,304
PROD-0046,Electronics Lite Watch 0046,Electronics,246.13,228
PROD-0047,Home Ridge Mug 0047,Home,609.09,451
PROD-0048,Fashion Nimbus Jacket 0048,Fashion,799.98,407
PROD-0049,Sports Bold Chair 0049,Sports,913.29,306
PROD-0050,Books Max Hoodie 0050,Books,41.79,173
PROD-0051,Electronics Aero Watch 0051,Electronics,82.14,395
PROD-0052,Home Eco Speaker 0052,Home,88.11,297
PROD-0053,Fashion Aero Bottle 0053,Fashion,111.94,84
PROD-0054,Sports Flex Lamp 0054,Sports,143.10,97
PROD-0055,Books Bold Watch 0055,Books,48.88,465
PROD-0056,Electronics Eco Headphones 0056,Electronics,57.44,466
PROD-0057,Home Nova Jacket 0057,Home,560.13,415
PROD-0058,Fashion Vista Chair 0058,Fashion,418.54,492
PROD-0059,Sports Pulse Chair 0059,Sports,962.10,327
PROD-0060,Books Classic Bottle 0060,Books,925.87,30
PROD-0061,Electronics Urban Watch 0061,Electronics,889.11,135
PROD-0062,Home Max Notebook 0062,Home,619.01,151
PROD-0063,Fashion Classic Bag 0063,Fashion,41.50,236
PROD-0064,Sports Vista Watch 0064,Sports,764.04,316
PROD-0065,Books Vista Bottle 0065,Books,638.46,494
PROD-0066,Electronics Nova Chair 0066,Electronics,875.71,83
PROD-0067,Home Aero Stand 0067,Home,66.35,34
PROD-0068,Fashion Eco Bottle 0068,Fashion,281.87,138
PROD-0069,Sports Classic Mug 0069,Sports,395.29,328
PROD-0070,Books Nova Shoes 0070,Books,842.97,86
PROD-0071,Electronics Delta Notebook 0071,Electronics,844.71,469
PROD-0072,Home Prime Bottle 0072,Home,719.80,181
PROD-0073,Fashion Vista Bag 0073,Fashion,173.81,360
PROD-0074,Sports Ridge Bottle 0074,Sports,325.44,306
PROD-0075,Books Max Bottle 0075,Books,601.62,233
PROD-0076,Electronics Flex Hoodie 0076,Electronics,473.18,223
PROD-0077,Home Delta Stand 0077,Home,754.75,250
PROD-0078,Fashion Max Headphones 0078,Fashion,610.75,87
PROD-0079,Sports Vista Shoes 0079,Sports,33.57,160
PROD-0080,Books Nova Speaker 0080,Books,576.90,337
PROD-0081,Electronics Pulse Mat 0081,Electronics,643.10,434
PROD-0082,Home Pulse Shoes 0082,Home,393.00,222
PROD-0083,Fashion Aero Speaker 0083,Fashion,315.32,320
PROD-0084,Sports Bold Lamp 0084,Sports,372.12,111
